Game, sales, Platform, release, deleoper
Minecraft, 238000000, Multi-platform,November 18 2011, Mojang Studios
Grand Theft Auto V,	169000000,Multi-platform,September 17 2013,	Rockstar North
Tetris (EA), 100000000, Multi-platform,	September 12 2006,EA Mobile
Wii Sports,	82900000, Wii, November 19 2006, Nintendo
PUBG: Battlegrounds, 75000000, Multi-platform, December 20 2017, PUBG Corporation
Super Mario Bros.,	58000000, Multi-platform, September 13 1985,Nintendo 
Mario Kart 8, 55280000, Wii U / Switch,	May 29 2014,	Nintendo
Overwatch,	50000000, Multi-platform,May 24 2016, Blizzard Entertainment
Pokémon,	47520000, Game Boy / Color, February 27 1996,Game Freak
Red Dead Redemption 2,	45000000, Multi-platform, October 26 2018,	Rockstar Studios